hypothesis_id,condition,model_name,response_id,num_players_mentioned,sentiment_label,recommendation_tags_str
H2,no_demographics,gpt-4,H2_no_demographics_0__gpt-4__1__1763168207734,0,neutral,unspecified
H2,no_demographics,gpt-4,H2_no_demographics_0__gpt-4__2__1763168207790,0,neutral,unspecified
H3,what_went_wrong,gpt-4,H3_what_went_wrong_0__gpt-4__0__1763168207843,0,neutral,unspecified
H3,what_went_wrong,gpt-4,H3_what_went_wrong_0__gpt-4__1__1763168207897,0,neutral,unspecified
H3,what_went_wrong,gpt-4,H3_what_went_wrong_0__gpt-4__2__1763168207954,0,neutral,unspecified
H3,opportunities_exist,gpt-4,H3_opportunities_exist_0__gpt-4__0__1763168208007,0,neutral,unspecified
H3,opportunities_exist,gpt-4,H3_opportunities_exist_0__gpt-4__1__1763168208058,0,neutral,unspecified
H3,opportunities_exist,gpt-4,H3_opportunities_exist_0__gpt-4__2__1763168208110,0,neutral,unspecified
H4,primed,gpt-4,H4_primed_0__gpt-4__0__1763168208165,0,neutral,unspecified
H4,primed,gpt-4,H4_primed_0__gpt-4__1__1763168208220,0,neutral,unspecified
H4,primed,gpt-4,H4_primed_0__gpt-4__2__1763168208272,0,neutral,unspecified
H4,neutral,gpt-4,H4_neutral_0__gpt-4__0__1763168208328,0,neutral,unspecified
H4,neutral,gpt-4,H4_neutral_0__gpt-4__1__1763168208380,0,neutral,unspecified
H4,neutral,gpt-4,H4_neutral_0__gpt-4__2__1763168208437,0,neutral,unspecified
H5,topline_summary,gpt-4,H5_topline_summary_0__gpt-4__0__1763168208489,0,neutral,unspecified
H5,topline_summary,gpt-4,H5_topline_summary_0__gpt-4__1__1763168208544,0,neutral,unspecified
H5,topline_summary,gpt-4,H5_topline_summary_0__gpt-4__2__1763168208596,0,neutral,unspecified
H5,balanced_summary,gpt-4,H5_balanced_summary_0__gpt-4__0__1763168208652,0,neutral,unspecified
H5,balanced_summary,gpt-4,H5_balanced_summary_0__gpt-4__1__1763168208707,0,neutral,unspecified
H5,balanced_summary,gpt-4,H5_balanced_summary_0__gpt-4__2__1763168208762,0,neutral,unspecified
